# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0 0
58 1.955 0 0
59 1.989 0 0
60 2.023 0 0
61 2.057 0 0
62 2.091 0 0
63 2.125 0 0
64 2.159 0.000817315 8.10185e-05
65 2.193 0.0147185 0.00158565
66 2.227 0.178758 0.0204282
67 2.261 1.24103 0.155266
68 2.295 4.40214 0.648044
69 2.329 8.60598 1.64014
70 2.363 9.62775 2.78264
71 2.397 6.40166 3.56431
72 2.431 2.64053 3.89593
73 2.465 0.676282 3.98325
74 2.499 0.111279 3.99802
75 2.533 0.0137507 3.9999
76 2.567 0.000661454 3.99999
77 2.601 8.03945e-05 4
78 2.635 0 4
79 2.669 0 4
80 2.703 0 4
81 2.737 0 4
82 2.771 0 4
83 2.805 0 4
84 2.839 0 4
85 2.873 0 4
86 2.907 0 4
87 2.941 0 4
88 2.975 0 4
89 3.009 0 4
90 3.043 0 4
91 3.077 0 4
92 3.111 0 4
93 3.145 0 4
94 3.179 0 4
95 3.213 0 4
96 3.247 0 4
97 3.281 0 4
98 3.315 0 4
99 3.349 0 4
100 3.383 0 4
101 3.417 0 4
102 3.451 0.000183033 4.00005
103 3.485 0.000268998 4.00012
